symbol,day,month,entry_ts_ms,exit_ts_ms,gross_pnl_bps,entry_spread_bps,entry_spread_abs_bps,entry_spread_velocity_bps,ls_diff_signed,oi_diff_signed_bps,carry_diff_signed_bps,score
CRVUSDT,2025-08-05,2025-08,1754363400000,1754363460000,2.186761,-14.407625,14.407625,9.979907,0.653820,21.229665,12.379278,11.089392
CRVUSDT,2025-08-05,2025-08,1754363460000,1754363520000,22.219753,-12.220864,12.220864,2.186761,0.653820,21.229665,9.418037,9.608772
CRVUSDT,2025-08-05,2025-08,1754374800000,1754374860000,7.686390,-13.183916,13.183916,10.981758,0.814016,39.786849,5.496371,11.519571
CRVUSDT,2025-08-05,2025-08,1754375760000,1754375820000,6.583007,-12.086584,12.086584,4.417032,0.829719,21.783582,13.892430,12.132650
CRVUSDT,2025-08-05,2025-08,1754376300000,1754376360000,13.227513,-13.227513,13.227513,4.414999,0.824590,15.266501,12.138522,9.947151
CRVUSDT,2025-08-05,2025-08,1754377140000,1754377200000,3.305018,-16.474465,16.474465,3.290549,0.839898,15.412069,14.159715,11.002169
CRVUSDT,2025-08-05,2025-08,1754377740000,1754377800000,8.813962,-12.113203,12.113203,1.099745,0.852729,5.164484,16.104704,9.937978
CRVUSDT,2025-08-05,2025-08,1754383680000,1754383740000,18.532888,-13.083297,13.083297,1.102031,0.853976,31.986408,8.930821,11.716668
CRVUSDT,2025-08-05,2025-08,1754424540000,1754424600000,6.743086,-13.480117,13.480117,2.244162,0.850037,22.090996,13.781663,12.159068
CRVUSDT,2025-08-05,2025-08,1754435520000,1754435580000,8.803041,-12.113203,12.113203,3.271470,0.871436,60.222972,2.648942,14.240501
CRVUSDT,2025-08-06,2025-08,1754480280000,1754480340000,5.503567,-16.528926,16.528926,7.706694,0.817754,15.443097,8.453461,8.133104
CRVUSDT,2025-08-06,2025-08,1754491560000,1754491620000,1.095888,-14.265335,14.265335,10.984137,0.852109,33.882783,11.204767,13.231049
