symbol,day,month,entry_ts_ms,exit_ts_ms,score,gross_pnl_bps,net_pnl_bps,alloc_dollars,pnl_dollars
CRVUSDT,2025-08-05,2025-08,1754363400000,1754363460000,11.089392,2.186761,-5.752997,10000.00,-5.75
CRVUSDT,2025-08-05,2025-08,1754377140000,1754377200000,11.002169,3.305018,-4.506956,9999.42,-4.51
CRVUSDT,2025-08-06,2025-08,1754480280000,1754480340000,8.133104,5.503567,-2.534660,9998.97,-2.53
CRVUSDT,2025-08-06,2025-08,1754491560000,1754491620000,13.231049,1.095888,-6.879852,9998.72,-6.88
GALAUSDT,2025-08-09,2025-08,1754775780000,1754775840000,6.858017,16.694491,8.468559,9998.03,8.47
GALAUSDT,2025-08-11,2025-08,1754929560000,1754929620000,7.204961,11.534025,3.227720,9998.88,3.23
CRVUSDT,2025-08-12,2025-08,1754980200000,1754980260000,13.641325,15.178738,7.226743,9999.20,7.23
CRVUSDT,2025-08-12,2025-08,1754986020000,1754986080000,7.440651,3.271629,-4.631543,9999.92,-4.63
GALAUSDT,2025-08-13,2025-08,1755084000000,1755084060000,22.037414,10.831300,2.935602,9999.46,2.94
CRVUSDT,2025-08-14,2025-08,1755192480000,1755192540000,11.682599,16.177158,8.666887,9999.76,8.67
CRVUSDT,2025-08-14,2025-08,1755198660000,1755198720000,9.569367,10.792138,3.064673,10000.62,3.06
CRVUSDT,2025-08-14,2025-08,1755199560000,1755199620000,11.442331,5.379227,-2.721317,10000.93,-2.72
CRVUSDT,2025-08-15,2025-08,1755218760000,1755218820000,8.450660,16.244901,8.676600,10000.66,8.68
CRVUSDT,2025-08-15,2025-08,1755221580000,1755221640000,6.135147,-0.000000,-7.678996,10001.52,-7.68
CRVUSDT,2025-08-15,2025-08,1755223380000,1755223440000,9.755053,14.110963,6.319416,10000.76,6.32
CRVUSDT,2025-08-16,2025-08,1755321480000,1755321540000,6.937023,4.591361,-3.419466,10001.39,-3.42
CRVUSDT,2025-08-16,2025-08,1755325800000,1755325860000,6.527587,16.121603,8.049144,10001.05,8.05
CRVUSDT,2025-08-16,2025-08,1755327360000,1755327420000,8.678038,9.236008,1.388421,10001.85,1.39
CRVUSDT,2025-08-17,2025-08,1755413460000,1755413520000,8.506542,4.628551,-3.282840,10001.99,-3.28
